FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa,target
473,110.10 ,32.41 ,212.470993,1033,846.9359741,0.369421,0.377883,0.0001504,-0.0000504,23.4904003,169.7059937,0.826833,2093.459961,0.459459,2.3747001,0.0046395,2,100,204,5201,6544.680176,0
474,109.94 ,32.38 ,212.470993,747,120,0.405283,0.144867,-0.0061959,-0.0008172,12.2601004,344.5580139,0,-256.0960083,-1.97297,13.6048002,0.0006446,1,1400,293,6616.959961,1825.079956,0
475,110.01 ,32.27 ,110.5559998,525,1166.920044,0.409214,0.383185,0.0032066,-0.0040896,23.1322002,114.8529968,0.375211,261.8179932,-9.7297297,4.0073299,0.0107744,2,100,209,1506.290039,3062.5,0
476,110.11 ,32.29 ,45,599,1389.75,0.315993,0.347122,0.0412479,-0.0005482,5.3859801,0,0,-37.5886993,7.94595,10.309,0.0054568,2,100,292,1224.130005,2432.959961,0
477,109.97 ,32.26 ,360,694,192.0939941,0.4004,0.265731,0,-0.0004055,25.7959995,120,0.640658,117.2070007,-2,5.2573299,0.0006476,2,1400,208,5070,5810.560059,0
478,110.07 ,32.28 ,79.6951981,403,180,0.326843,0.256103,-0.0014788,0.0007896,10.5553999,60,0.512254,191.076004,0.810811,3.7469499,0.0004855,1,1400,292,1740,611.882019,0
479,109.97 ,32.44 ,39.8055992,820,1380,0.338771,0.255804,-0.0054573,0.0021715,21.3313007,42.4263992,0.62183,-46.5550003,1,11.0021,0.0022261,2,100,204,6495.879883,8458.19043,0
480,110.08 ,32.27 ,66.0374985,418,152.970993,0.389661,0.282959,0.0047104,-0.0003733,18.1748009,0,0.361361,-24.0025997,1.78378,10.309,0.0005806,1,1400,293,60,84.8527985,0
481,110.08 ,32.30 ,274.0859985,472,836.7800293,0.214296,0.222729,0.0018324,-0.0009086,13.1662998,60,0.437262,61.5657005,0.27027,4.8795099,0.0017802,2,1400,293,1766.180054,3314.830078,0
482,110.05 ,32.23 ,360,562,1470.310059,0.134729,0.191562,0,0.0004213,24.2276993,102.4260025,0.749669,-152.7799988,3.1621599,11.6952,0.0011381,2,1400,291,1225.599976,4333.830078,0
483,110.07 ,32.32 ,206.5650024,593,1449.030029,0.165423,0.241345,0.025839,0.0009815,6.3793702,0,0.295645,2.89448,7.97297,5.7395902,0.0045327,2,1400,293,3408.01001,4657.25,0
484,109.90 ,32.33 ,175.2359924,484,390,0.401633,0.247905,0.0022909,0.0000903,11.3480997,120,0.313851,-407.7019958,1.1351399,11.9183998,0.0006727,1,1400,210,342.053009,1884.040039,0
485,109.95 ,32.26 ,135,588,402.4920044,0.349275,0.354727,0.0036828,0.0006826,20.6625996,169.7059937,0.203382,-606.9279785,3.45946,11.9183998,0.0007839,2,100,187,3409.060059,6651.950195,0
486,110.03 ,32.24 ,113.1989975,700,1140.390015,0.243224,0.330535,-0.0009056,0.0012211,14.2441998,42.4263992,0.364793,-558.6539917,0.945946,11.0021,0.0003728,2,1400,290,3090,4363.939941,0
487,109.94 ,32.37 ,208.6100006,623,339.4110107,0.505867,0.315505,0.0046089,-0.0003817,11.7957001,0,0.856244,-29.1285,-2.3513501,10.309,0.0011968,2,1400,211,6199.049805,1103.900024,0
488,109.94 ,32.43 ,326.3099976,819,351.1409912,0.462247,0.255835,0.0071115,0.0015391,16.7236004,42.4263992,0.154554,96.7297974,7.3243198,3.61677,0.00362,2,1400,204,7538.839844,6499.209961,0
489,109.89 ,32.43 ,285.9450073,618,301.4960022,0.392163,0.23631,0.0009215,0.0001826,20.0018005,30,0.334945,134.875,4.6216202,3.2843399,0.001201,2,1400,204,5269.509766,2303.76001,0
490,109.91 ,32.36 ,291.8009949,451,60,0.437172,0.166325,-0.0053361,-0.0001461,10.1765003,367.2789917,0.752889,1402.300049,-2.43243,7.3805699,0.0007705,1,1400,202,3138.689941,816.0880127,0
491,109.92 ,32.35 ,282.0950012,528,305.9410095,0.530893,0.240081,-0.0069502,0.0010151,13.4215002,42.4263992,0,103.5179977,0.756757,4.35988,0.0020383,2,1400,202,3398.350098,540,0
492,110.06 ,32.43 ,12.8043003,781,980.8670044,0.290474,0.279332,0.000238,0.0003822,20.6070995,30,0.134317,-317.5100098,4.5135102,11.0021,0.0052696,2,100,213,1500.300049,9394.650391,0
493,110.10 ,32.34 ,116.5650024,520,1489.459961,0.265581,0.174007,0.0014907,-0.000215,8.4787102,84.8527985,0,-124.8130035,-1.3513499,11.4076004,0.000162,1,1400,211,1612.76001,7325.470215,0
494,110.04 ,32.28 ,64.9831009,384,276.5859985,0.302282,0.216849,0.0003013,-0.0010698,15.4231997,254.5579987,0.2421,-158.0410004,-1.8648601,13.1992998,0.0004444,1,1400,293,84.8527985,523.927002,0
495,109.95 ,32.38 ,120.2559967,650,445.9819946,0.554159,0.345334,-0.00823,0.0002209,13.0366001,372.4259949,0.681458,472.651001,-2.7567599,7.5120101,0.0010172,1,1400,202,5273.259766,2406.370117,0
496,109.97 ,32.39 ,97.3524017,649,182.4830017,0.432975,0.29126,0.0014037,-0.0001226,27.5172997,60,0,-85.040802,2.8378401,11.4076004,0.0014406,2,1400,294,5013.229981,4517.169922,0
497,110.07 ,32.37 ,228.576004,1071,1124.5,0.398116,0.337684,0.0085928,-0.0008387,20.6994991,212.1320038,0.102572,-627.8720093,6.91892,12.1007004,0.0042746,2,1400,203,2734.120117,9056.080078,0
498,110.08 ,32.42 ,250.345993,1009,1642.349976,0.178085,0.336531,0.0001218,0.0008148,36.6236,30,0.296592,-111.0839996,5.6486502,11.0021,0.0021682,2,100,204,3542.030029,7495.560059,0
499,110.11 ,32.44 ,285.2550049,767,60,0.297751,0.183439,-0.0002924,0.0000527,10.7595997,356.9849854,0.442975,2120.830078,-2.10811,4.8092599,0.0009771,2,1400,263,4074.919922,4133.040039,0
500,110.02 ,32.35 ,288.4349976,548,780,0.451513,0.204401,0.0052705,-0.0002766,3.0169599,0,0.381415,-3.75842,1.2973,10.309,0.0004524,1,1400,292,1081.670044,5638.879883,0
501,109.92 ,32.32 ,165.9640045,447,835.7030029,0.388644,0.252068,-0.0066578,-0.0001907,7.8255301,114.8529968,0.952181,13701.7002,-3.8378401,2.4070201,0.0012176,1,1400,209,1441.25,67.0820007,0
502,110.01 ,32.40 ,325.3049927,559,582.4949951,0.191958,0.233379,-0.0011215,-0.0007374,14.7630997,212.1320038,0.420971,-248.9779968,-1.32432,12.1007004,0.0001939,2,1400,261,3300,8063.979981,0
503,110.07 ,32.39 ,343.3009949,851,516.1400146,0.321324,0.195692,0.0009373,-0.0030829,19.1884003,30,0.0000481,21.1474991,-4.6756802,5.1371698,0.0039478,2,100,204,2370,9664.009766,0
504,109.97 ,32.22 ,92.9356995,834,1026.160034,0.3727,0.34902,-0.0003034,0.0004433,33.0583,102.4260025,0.0001329,-1674.630005,0.756757,11.6952,0.0011741,2,1400,179,5102.209961,9213.129883,0
505,109.96 ,32.40 ,160.345993,688,678.822998,0.403985,0.303522,-0.0069601,0.001069,13.9158001,169.7059937,0.822021,1999.589966,-1.78378,4.6178002,0.0017499,1,1400,294,6634.339844,4760.560059,0
506,110.06 ,32.38 ,137.4900055,781,1292.439941,0.445945,0.407029,-0.0155621,0.0042949,15.1796999,42.4263992,0.390996,-52.5220985,1.83784,11.4076004,0.0072588,2,100,203,1350,8946.490234,0
