FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa
97,109.920185,31.542749,94.0856018,2118,1768.219971,0.0642732,0.365105,0.0153826,0.0012939,13.1662998,0,0.215701,20.5219002,11.0811005,3.7809,0.010843,2,100,189,8748.179688,16779.90039
98,109.920501,31.542752,109.6539993,2110,1776.089966,0.0638855,0.37264,0.0023336,0.0009954,13.9158001,0,0.45068,133.3059998,8.4864902,1.90975,0.0083631,2,100,189,8770.320313,16774.19922
99,109.920817,31.542754,132.5099945,2104,1784.430054,0.0634926,0.369821,-0.0044507,0.0045814,15.1796999,0,0.488511,-17.5074005,8.7567596,10.309,0.0106933,2,100,189,8792.509766,16768.5
100,109.921133,31.542757,144.7819977,2098,1793.23999,0.0630945,0.364989,-0.0075914,0.0055001,19.1271,42.4263992,0.531085,17.0939999,9.6486502,5.3499599,0.0135106,2,100,189,8814.740234,16762.90039
101,109.921449,31.54276,150.0180054,2092,1802.5,0.0626911,0.375975,-0.0034535,0.0056071,26.5778008,42.4263992,0.42224,474.5830078,10.7297001,2.0262499,0.0132595,2,100,189,8837.019531,16757.40039
102,109.921765,31.542762,147.0950012,2083,1812.209961,0.0622826,0.382298,0.0003995,0.0030101,34.0172997,42.4263992,0.352965,-35.9814987,8.8918896,11.0021,0.0054055,2,100,189,8859.349609,16751.90039
103,109.922081,31.542765,142.352005,2070,1822.359985,0.0618691,0.374235,0.0014835,0.0000095,36.3804016,42.4263992,0.39466,-232.9949951,3.89189,11.0021,0.0010173,2,100,189,8881.719727,16746.40039
104,109.922397,31.542768,139.8439941,2056,1832.949951,0.0614504,0.368115,0.0008347,-0.0012404,34.9079018,84.8527985,0.137589,32.8889008,-0.459459,5.5064802,0.0013064,2,100,189,8904.139648,16741
105,109.922713,31.54277,135.970993,2043,1843.959961,0.0610268,0.363858,0.0008663,-0.000026,34.8156013,84.8527985,0.984576,23.7553997,-1.94595,5.83181,0.0021357,2,100,189,8926.599609,16735.59961
106,109.923029,31.542773,133.2100067,2027,1855.400024,0.0605981,0.379966,-0.0015629,0.0000347,37.0387993,84.8527985,0.976224,-69.8989029,-4.7837801,11.4076004,0.0028726,2,100,189,8949.110352,16730.30078
107,109.923345,31.542776,134.1190033,2010,1867.23999,0.0601645,0.388894,-0.0025938,-0.0009513,37.4566002,127.2789993,1.09085,-29.6914997,-7.2432399,11.6952,0.0039442,2,100,197,8971.660156,16725.09961
108,109.923661,31.542778,134.0910034,1994,1879.48999,0.059726,0.417116,-0.00158,-0.0014054,36.5959015,127.2789993,0.865146,-237.6309967,-7.6756802,11.6952,0.0049566,2,100,197,8994.25,16719.90039
